Diseases,Nutrients
Fibromyalgia,"Sugar,Carbs,Processed food"
Fits (children with fever – Febrile seizures),N/A
Flat feet,"Sugar,Carbs,Processed meet,Sodium"
Flat head syndrome (plagiocephaly and brachycephaly),N/A
Flu,N/A
Food allergy,N/A
Food intolerance,N/A
Food poisoning,Fat
Foot drop,Sugar
Foreskin problems (Phimosis),"Sugar,Processed meet"
Frontotemporal dementia,"Sugar,Carbs, Fat"
Frostbite,"Alcohol,Caffeine"
Frozen shoulder,"Sugar,Saturated Fat,Sodium"
Functional neurological disorder,"Sugar,Saturated fat, Alcohol"
Fungal nail infection,N/A
Gallbladder cancer,"Saturated fat, Sugar, Alcohol"
Acute cholecystitis (Gallbladder pain),Fat (specifically Saturated fat)
Gallstones,"Saturated fat, Sugar, Carbohydrates"
Ganglion cyst,N/A
Gangrene,"Sugar, Saturated fat, Sodium"
Gastritis,"Saturated fat, Caffeine, Alcohol, Sugar"
Heartburn and acid reflux (GORD),"Saturated fat, Caffeine, Alcohol, Sodium, Sugar"
Gastroparesis,"Fiber, Fat"
Gender dysphoria,N/A
Generalised anxiety disorder (GAD),"Caffeine, Sugar, Alcohol"
Genital herpes,"Arginine (Protein amino acid), Sugar"
Genital warts,N/A
Rubella (German measles),N/A
Gestational diabetes,"Sugar, Carbohydrates"
Temporal arteritis (Giant cell arteritis),"Sodium, Sugar, Saturated fat"
Giardiasis,"Lactose, Fat, Sugar"
Gilbert's syndrome,Alcohol
Glandular fever,"Alcohol, Sugar"
Glaucoma,"Caffeine, Sodium"
Glomerulonephritis,"Sodium, Potassium, Phosphorus, Protein"
Glue ear,N/A
Goitre,"N/A (Focus is on adding Iodine, not restricting standard nutrients)"
Gonorrhoea,N/A
Gout,"Purines (Specific proteins), Alcohol, Sugar"
Granuloma annulare,N/A
Granulomatosis with polyangiitis (GPA),"Sodium, Sugar"
Group B strep,N/A
Growing pains,N/A
Guillain-Barré syndrome,N/A
Gum disease,"Sugar, Carbohydrates"
Gynaecomastia,"Alcohol, Sugar"
Haemochromatosis,"Iron, Vitamin C, Alcohol"
Haemophilia,N/A
Haemophilus influenzae type b (Hib),N/A
Piles (haemorrhoids),"Saturated fat, Carbohydrates (refined), Alcohol"
Hamstring injury,"Alcohol, Sugar"
"Hand, foot and mouth disease","N/A (Focus is on soft, non-acidic textures)"
Hay fever,"Sugar, Saturated fat, Alcohol"
Head injury and concussion,"Sugar, Saturated fat, Alcohol"
Head lice and nits,N/A
Headaches,"Caffeine, Alcohol, Sodium, Sugar"
Tension headaches,"Caffeine, Alcohol, Sugar"
Health anxiety,"Caffeine, Alcohol, Sugar"
Hearing loss,N/A
Heart attack,"Sodium, Saturated fat, Trans fat, Sugar"
Heart block,"Sodium, Saturated fat, Caffeine"
Coronary heart disease,"Sodium, Saturated fat, Trans fat, Sugar"
Heart failure,"Sodium, Fluids, Saturated fat"
Heart rhythm problems (arrhythmia),"Caffeine, Sodium, Alcohol, Saturated fat"
Heart valve disease,"Sodium, Saturated fat"
Heartburn and acid reflux,"Saturated fat, Caffeine, Alcohol, Sodium, Sugar"
Heat exhaustion and heatstroke,"Caffeine, Alcohol"
Heat rash (prickly heat),N/A
Heavy periods,"Caffeine, Alcohol"
Henoch-Schönlein purpura (HSP),"Sodium, Protein (only if kidney involvement occurs)"
"Hepatitis (General, A, B, and C)","Alcohol, Saturated fat, Sodium, Sugar"
Hereditary haemorrhagic telangiectasia (HHT),Alcohol
Hereditary spastic paraplegia,N/A
Hernia (General),N/A
"Hernia (hiatus), see Hiatus hernia","Saturated fat, Caffeine, Alcohol, Sodium, Sugar"
"Hernia (umbilical), see Umbilical hernia",N/A
"Herpes (genital), see Genital herpes","Arginine, Sugar"
"Herpes in babies, see Neonatal herpes",N/A
Herpes simplex eye infections,Arginine
Herpetic whitlow (whitlow finger),N/A
Hiatus hernia,"Saturated fat, Caffeine, Alcohol, Sodium, Sugar"
"Hib, see Haemophilus influenzae type b (Hib)",N/A
Hidradenitis suppurativa (HS),"Sugar, Dairy (Lactose/Saturated fat), Brewer's yeast"
High blood pressure,"Sodium, Saturated fat, Alcohol, Caffeine"
High blood sugar (hyperglycaemia),"Sugar, Carbohydrates"
High cholesterol,"Saturated fat, Trans fat, Sugar"
"Hip dysplasia, see Developmental dysplasia of the hip",N/A
Hirschsprung's disease,"Fiber (must be managed closely based on symptoms), Sugar, Lactose"
HIV and AIDS,"Sugar, Saturated fat, Trans fat"
Hives,"Alcohol, Sugar"
Hoarding disorder,N/A
Hodgkin lymphoma,"Sugar, Saturated fat, Alcohol"
"Hookworm, see Worms in humans","Sugar, Carbohydrates"
"Hughes syndrome, see Antiphospholipid syndrome (APS)",Vitamin K
"Human bites, see Animal and human bites",N/A
Human papillomavirus (HPV),N/A
Huntington's disease,N/A (Focus is on high-calorie diets and altered textures due to swallowing difficulties)
Hydrocephalus,N/A
Hydronephrosis,"Sodium, Potassium, Phosphorus"
"Hyperacusis, see Noise sensitivity (hyperacusis)",N/A
"Hyperhidrosis, see Excessive sweating (hyperhidrosis)","Caffeine, Alcohol, Sodium"
Hyperparathyroidism,"Calcium, Vitamin D, Sodium"
"Hypersomnia, see Excessive daytime sleepiness (hypersomnia)","Alcohol, Sugar, Caffeine"
"Hypertension, see High blood pressure","Sodium, Saturated fat, Caffeine, Alcohol"
"Hyperthyroidism, see Overactive thyroid (hyperthyroidism)","Iodine, Caffeine, Sugar"
"Hypoglycaemia, see Low blood sugar (hypoglycaemia)","Sugar (refined), Alcohol, Caffeine"
Hypoparathyroidism,"Phosphorus, Sodium"
"Hypotension, see Low blood pressure (hypotension)","Alcohol, Carbohydrates (large portions)"
Hypothermia,Alcohol
"Hypothyroidism, see Underactive thyroid (hypothyroidism)","Sugar, Saturated fat, Soy (highly concentrated proteins)"
"IBD, see Inflammatory bowel disease","Fiber (insoluble during flares), Sugar, Saturated fat, Lactose"
Ichthyosis,N/A
Idiopathic pulmonary fibrosis,"Sodium, Carbohydrates, Saturated fat"
Impetigo,N/A
"Impotence, see Erectile dysfunction (impotence)","Sodium, Saturated fat, Trans fat, Sugar, Alcohol"
"Incontinence (bowel), see Bowel incontinence","Caffeine, Alcohol, Sugar (including artificial sweeteners), Fructose"
"Incontinence (urinary), see Urinary incontinence","Caffeine, Alcohol, Sugar"
Indigestion,"Saturated fat, Caffeine, Alcohol, Sodium, Sugar"
Infected piercings,N/A
Infertility,"Sugar, Saturated fat, Trans fat, Alcohol"
Inflammatory bowel disease,"Fiber (insoluble during flares), Sugar, Saturated fat, Lactose"
"Influenza, see Flu","Sugar, Alcohol"
Ingrown hairs,N/A
Ingrown toenail,N/A
Insect bites and stings,N/A
Insomnia,"Caffeine, Alcohol, Sugar"
"Intersex, see Differences in sex development",N/A
"Interstitial cystitis, see Bladder pain syndrome (BPS)","Caffeine, Alcohol, Sugar"
Intracranial hypertension,"Sodium, Vitamin A, Saturated fat"
Iron deficiency anaemia,"Calcium, Caffeine"
Irritable bowel syndrome (IBS),"Sugar (Fructose), Lactose, Carbohydrates (fermentable), Caffeine, Alcohol"
Japanese encephalitis,N/A
Jaundice,"Alcohol, Saturated fat, Sodium, Sugar"
"Jaundice in newborns, see Newborn jaundice",N/A
"Jaw pain, see Temporomandibular disorder (TMD)","Caffeine, Sugar (Focus is primarily on soft textures)"
Jellyfish and other sea creature stings,N/A
Jet lag,"Caffeine, Alcohol, Sugar"
Joint hypermobility syndrome,N/A
Kawasaki disease,"Sodium, Saturated fat, Sugar"
Keloid scars,N/A
Keratosis pilaris,N/A
Kidney cancer,"Sodium, Potassium, Phosphorus"
"Kidney failure, see Chronic kidney disease","Sodium, Potassium, Phosphorus, Protein"
Kidney infection,"Caffeine, Alcohol, Sugar"
Kidney stones,"Sodium, Proteins, Sugar"
Klinefelter syndrome,N/A
"Knee cartilage damage, see Meniscus tear (knee cartilage damage)",N/A
Knock knees,N/A
Knocked-out tooth,N/A
Kyphosis,N/A
Labial fusion,N/A
Labyrinthitis and vestibular neuritis,"Sodium, Caffeine, Alcohol"
Lactose intolerance,Lactose
Lambert-Eaton myasthenic syndrome,N/A
Laryngeal cancer,"Alcohol, Sugar, Saturated fat"
Laryngitis,"Caffeine, Alcohol, Saturated fat, Sugar"
Lazy eye,N/A
Learning disabilities,N/A
Leg cramps,"Caffeine, Alcohol"
"Leg ulcer, see Venous leg ulcer","Sodium, Sugar, Saturated fat"
Legionnaires' disease,N/A
Leptospirosis (Weil's disease),N/A
"Leukaemia (acute lymphoblastic), see Acute lymphoblastic leukaemia","Sugar, Saturated fat"
"Leukaemia (acute myeloid), see Acute myeloid leukaemia","Sugar, Saturated fat"
"Leukaemia (chronic lymphocytic), see Chronic lymphocytic leukaemia","Sugar, Saturated fat"
Leukoplakia,"Alcohol, Sugar"
Lichen planus,"Sugar, Caffeine, Alcohol"
Lichen sclerosus,N/A
Lipoedema,"Sodium, Sugar, Saturated fat"
Lipoma,N/A
Listeriosis,"N/A (Focus is on avoiding unpasteurized foods to prevent infection, no specific nutrient restriction during active infection)"
Liver cancer,"Alcohol, Sodium, Saturated fat, Sugar"
Liver disease,"Alcohol, Sodium, Saturated fat, Sugar"
"Liver disease (alcohol-related), see Alcohol-related liver disease","Alcohol, Sodium, Saturated fat, Sugar"
Long COVID,"Sugar, Saturated fat, Alcohol"
Long QT syndrome,"Caffeine, Alcohol"
Long-sightedness,N/A
Low blood pressure (hypotension),"Alcohol, Carbohydrates (refined/large portions)"
Low blood sugar (hypoglycaemia),"Sugar (refined), Alcohol, Caffeine"
Low sperm count,"Saturated fat, Trans fat, Sugar, Alcohol"
Low white blood cell count,"N/A (Focus is on food safety and pasteurization, not nutrient restriction)"
"Low-grade brain tumours, see Non-cancerous (benign) brain tumours",N/A
Lung cancer,"Carbohydrates, Sodium, Saturated fat, Sugar"
Lupus,"Sodium, Saturated fat, Trans fat, Sugar"
Lyme disease,"Sugar, Saturated fat, Alcohol"
Lymphoedema,"Sodium, Saturated fat, Sugar"
"Lymphoma (Hodgkin), see Hodgkin lymphoma","Sugar, Saturated fat, Alcohol"
Age-related macular degeneration (AMD),"Sugar, Saturated fat"
Macular hole,N/A
Malaria,N/A
The 'male menopause',"Sugar, Saturated fat, Alcohol"
Malignant brain tumour (brain cancer),"Sugar, Saturated fat"
Mallet finger,N/A
Malnutrition,N/A (Focus is entirely on safe caloric and nutrient reintroduction)
Marfan syndrome,N/A
Mastitis,N/A
Mastocytosis,"Alcohol, Caffeine"
Mastoiditis,N/A
Measles,N/A
Medically unexplained symptoms,N/A
Melanoma skin cancer,"Sugar, Saturated fat, Alcohol"
Meningitis,N/A
Meniscus tear (knee cartilage damage),N/A
Menopause,"Caffeine, Alcohol, Sodium, Sugar, Saturated fat"
Early or premature menopause,"Caffeine, Alcohol, Sodium, Sugar, Saturated fat"
Mesothelioma,"Sodium, Sugar, Saturated fat"
Metabolic syndrome,"Sugar, Carbohydrates (refined), Saturated fat, Trans fat, Sodium"
Middle East respiratory syndrome (MERS),N/A
Migraine,"Caffeine, Alcohol, Tyramine, Sodium"
Miscarriage,N/A
Molar pregnancy,N/A
Moles,N/A
Molluscum contagiosum,N/A
Morton's neuroma,N/A
Motion sickness,"Alcohol, Caffeine, Saturated fat"
Motor neurone disease (MND),N/A (Focus is on texture modification for swallowing difficulties)
Mouth cancer,"Alcohol, Sugar"
"Mouth thrush, see Oral thrush (mouth thrush)","Sugar, Carbohydrates (refined)"
Mouth ulcers,"Sodium, Caffeine, Alcohol"
Mpox,N/A
MRSA,N/A
Mucositis,"Sodium, Alcohol, Caffeine, Sugar"
Multiple sclerosis,"Saturated fat, Sodium, Sugar"
Multiple system atrophy (MSA),N/A (Focus is on altered textures for swallowing and often adding sodium for low blood pressure)
Mumps,N/A
Munchausen syndrome,N/A
Muscular dystrophy,N/A (Focus is on texture modification for swallowing difficulties)
Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),"Sugar, Caffeine, Alcohol"
Myasthenia gravis,N/A (Focus is on meal timing and texture to combat chewing/swallowing fatigue)
Myelodysplastic syndrome (MDS),N/A (Focus is on food safety/pasteurization to prevent infection)
Myeloma,"Calcium, Phosphorus, Sodium"
"Myopia, see Short-sightedness (myopia)",N/A
Myositis,"Sodium, Sugar, Saturated fat"
Ménière's disease,"Sodium, Caffeine, Alcohol"
"Nail fungal infection, see Fungal nail infection",N/A
Nappy rash,N/A
Narcolepsy,"Carbohydrates (heavy/refined), Sugar, Alcohol"
Nasal and sinus cancer,"Alcohol, Sugar, Saturated fat"
Nasal polyps,"Alcohol, Sugar, Salicylates (often found in certain fruits/spices, if sensitive)"
Nasopharyngeal cancer,"Alcohol, Sugar, Saturated fat"
Necrotising fasciitis,N/A (Acute surgical/IV antibiotic emergency)
Neonatal herpes (herpes in a baby),N/A
Nephrotic syndrome in children,"Sodium, Fluids, Saturated fat"
Neurofibromatosis type 1 (NF1),N/A
Neurofibromatosis type 2 (NF2),N/A
Neuromyelitis optica (NMO),"Sugar, Saturated fat, Sodium"
Newborn jaundice,N/A
Newborn respiratory distress syndrome,N/A
Night terrors and nightmares,"Caffeine, Alcohol, Sugar"
Noise sensitivity (hyperacusis),N/A
Non-alcoholic fatty liver disease (NAFLD),"Sugar (especially Fructose), Saturated fat, Carbohydrates (refined), Trans fat"
Non-allergic rhinitis,"Alcohol, Caffeine"
Non-cancerous (benign) brain tumours,N/A
Non-Hodgkin lymphoma,"Sugar, Saturated fat, Alcohol"
Non-melanoma skin cancer,"Sugar, Saturated fat"
Noonan syndrome,N/A
Norovirus (vomiting bug),"Fat, Sugar, Fiber, Lactose"
Nosebleed,N/A
Obesity,"Sugar, Saturated fat, Trans fat, Carbohydrates (refined)"
Obsessive compulsive disorder (OCD),"Caffeine, Alcohol, Sugar"
Oesophageal atresia and tracheo-oesophageal fistula,N/A (Congenital structural defect requiring surgery)
Oesophageal cancer,"Alcohol, Saturated fat, Sugar, Caffeine"
Oral thrush (mouth thrush),"Sugar, Carbohydrates (refined)"
Orf,N/A (Acute viral skin infection from sheep/goats)
Osteoarthritis,"Sugar, Saturated fat, Sodium"
Rickets and osteomalacia,"Sodium, Caffeine, Alcohol"
Osteomyelitis,"Sugar, Sodium, Saturated fat"
Osteophyte (bone spur),N/A
Osteoporosis,"Sodium, Caffeine, Alcohol"
Otosclerosis,N/A
Ovarian cancer,"Saturated fat, Sugar, Alcohol"
Ovarian cyst,"Sugar, Carbohydrates (refined), Saturated fat"
Overactive thyroid (hyperthyroidism),"Iodine, Caffeine, Sugar"
Paget's disease of bone,"Sodium, Caffeine, Alcohol"
Paget's disease of the nipple,"Alcohol, Saturated fat, Sugar"
Pancreatic cancer,"Saturated fat, Sugar, Alcohol"
"Pancreatitis (acute), see Acute pancreatitis","Fat, Alcohol"
"Pancreatitis (chronic), see Chronic pancreatitis","Fat, Sugar, Alcohol"
Panic disorder,"Caffeine, Alcohol, Sugar"
Parkinson's disease,"Protein (timing with medication), Saturated fat, Sugar"
Patau's syndrome,N/A
Pelvic inflammatory disease,"Sugar, Saturated fat, Alcohol"
Pelvic organ prolapse,"Saturated fat, Carbohydrates (refined)"
Pemphigus vulgaris,"Sodium, Sugar, Saturated fat"
Penile cancer,"Alcohol, Saturated fat, Sugar"
"Peptic ulcer, see Stomach ulcer","Caffeine, Alcohol, Saturated fat, Sodium"
Perforated eardrum,N/A
Pericarditis,"Sodium, Saturated fat, Trans fat, Sugar"
"Perimenopause, see Menopause","Caffeine, Alcohol, Sodium, Sugar, Saturated fat"
Periods,"Sodium, Caffeine, Alcohol, Sugar"
"Periods (heavy), see Heavy periods","Caffeine, Alcohol"
Peripheral arterial disease (PAD),"Sodium, Saturated fat, Trans fat, Sugar"
Peripheral neuropathy,"Sugar, Saturated fat, Alcohol"
Peritonitis,"N/A (Acute surgical/IV emergency, no standard dietary intake)"
Personality disorders,"Caffeine, Alcohol"
Peyronie's disease,N/A
Phaeochromocytoma,"Sodium, Caffeine, Tyramine"
"Phimosis, see Tight foreskin (phimosis)",N/A
Phlebitis (superficial thrombophlebitis),"Sodium, Saturated fat, Sugar"
Phobias,"Caffeine, Alcohol"
Piles (haemorrhoids),"Saturated fat, Carbohydrates (refined), Alcohol"
Pilonidal sinus,N/A
PIP breast implants,N/A
Pityriasis rosea,N/A
Pityriasis versicolor,N/A
Plantar fasciitis,N/A (Focus is on biomechanics and overall weight management)
Pleurisy,N/A
PMS (premenstrual syndrome),"Caffeine, Alcohol, Sodium, Sugar"
Pneumonia,N/A
Poisoning,N/A (Acute medical emergency)
Polio,N/A
"Polycystic kidney disease (autosomal dominant), see Autosomal dominant polycystic kidney disease","Sodium, Protein, Caffeine, Phosphorus, Potassium"
"Polycystic kidney disease (autosomal recessive), see Autosomal recessive polycystic kidney disease","Sodium, Protein, Caffeine, Phosphorus, Potassium"
Polycystic ovary syndrome,"Sugar, Carbohydrates (refined), Saturated fat"
Polyhydramnios (too much amniotic fluid),Sugar
Polymorphic light eruption,N/A
Polymyalgia rheumatica,"Sodium, Sugar, Saturated fat"
Pompholyx (dyshidrotic eczema),"Nickel (trace mineral), Cobalt"
Post-herpetic neuralgia,N/A
Post-traumatic stress disorder (PTSD),"Caffeine, Alcohol"
Postnatal depression,"Caffeine, Alcohol"
Postpartum psychosis,"Caffeine, Alcohol"
Postural tachycardia syndrome (PoTS),"Carbohydrates (heavy/refined), Alcohol, Caffeine"
Prader-Willi syndrome,"Calories (Strictly monitored), Sugar, Carbohydrates"
Pre-eclampsia,"Sodium, Sugar, Saturated fat"
Pregnancy,"Alcohol, Caffeine, Vitamin A (preformed)"
"Premature ejaculation, see Ejaculation problems",N/A
Pressure ulcers (pressure sores),N/A (Focus is entirely on adding massive amounts of protein and calories for wound healing)
"Prickly heat, see Heat rash (prickly heat)",N/A
Primary biliary cholangitis (primary biliary cirrhosis),"Saturated fat, Alcohol, Sodium"
Problems swallowing pills,N/A
Progressive supranuclear palsy,N/A (Focus is on texture modification for swallowing difficulties)
Prosopagnosia (face blindness),N/A
Prostate cancer,"Saturated fat, Calcium, Sugar"
"Prostate enlargement, see Enlarged prostate","Caffeine, Alcohol, Sodium"
Prostatitis,"Caffeine, Alcohol"
Psoriasis,"Alcohol, Sugar, Saturated fat"
Psoriatic arthritis,"Alcohol, Sugar, Saturated fat"
Psychosis,"Caffeine, Alcohol, Sugar"
Psychotic depression,"Caffeine, Alcohol, Sugar"
"Puberty (early or delayed), see Early or delayed puberty",N/A
Pubic lice,N/A
Pudendal neuralgia,N/A
Pulmonary embolism,Vitamin K (if prescribed specific anticoagulants)
"Pulmonary fibrosis, see Idiopathic pulmonary fibrosis","Sodium, Carbohydrates, Saturated fat"
